url,title,mitre_tactic_name,mitre_tactic,mitre_technique_name,mitre_technique,description,type,elastic_query,rule_indices,references,tags
https://www.elastic.co/guide/en/security/7.16/abnormally-large-dns-response.html,Abnormally Large DNS Responseedit,['Lateral Movement'],['TA0008'],['Exploitation of Remote Services'],['T1210'],Specially crafted DNS requests can manipulate a known overflow vulnerability in some Windows DNS servers which result in Remote Code Execution (RCE) or a Denial of Service (DoS) from crashing the service.,['query'],event.category:(network or network_traffic) and destination.port:53and (event.dataset:zeek.dns or type:dns or event.type:connection)and network.bytes > 60000,"['packetbeat-*', 'filebeat-*']","['https://research.checkpoint.com/2020/resolving-your-way-into-domain-admin-exploiting-a-17-year-old-bug-in-windows-dns-servers/', 'https://msrc-blog.microsoft.com/2020/07/14/july-2020-security-update-cve-2020-1350-vulnerability-in-windows-domain-name-system-dns-server/', 'https://github.com/maxpl0it/CVE-2020-1350-DoS']","['Elastic', 'Network', 'Threat Detection', 'Lateral Movement']"
https://www.elastic.co/guide/en/security/7.16/adfind-command-activity.html,AdFind Command Activityedit,['Discovery'],['TA0007'],['Permission Groups Discovery'],['T1069'],"This rule detects the Active Directory query tool, AdFind.exe. AdFind has legitimate purposes, but it is frequently leveraged by threat actors to perform post-exploitation Active Directory reconnaissance. The AdFind tool has been observed in Trickbot, Ryuk, Maze, and FIN6 campaigns. For Winlogbeat, this rule requires Sysmon.",['eql'],"process where event.type in (""start"", ""process_started"") and(process.name : ""AdFind.exe"" or process.pe.original_file_name ==""AdFind.exe"") and process.args : (""objectcategory=computer"",""(objectcategory=computer)"",""objectcategory=person"", ""(objectcategory=person)"",""objectcategory=subnet"", ""(objectcategory=subnet)"",""objectcategory=group"", ""(objectcategory=group)"",""objectcategory=organizationalunit"",""(objectcategory=organizationalunit)"",""objectcategory=attributeschema"", ""(objectcategory=attributeschema)"",""domainlist"", ""dcmodes"", ""adinfo"", ""dclist"", ""computers_pwnotreqd"",""trustdmp"")","['logs-endpoint.events.*', 'winlogbeat-*', 'logs-windows.*']","['http://www.joeware.net/freetools/tools/adfind/', 'https://thedfirreport.com/2020/05/08/adfind-recon/', 'https://www.fireeye.com/blog/threat-research/2020/05/tactics-techniques-procedures-associated-with-maze-ransomware-incidents.html', 'https://www.cybereason.com/blog/dropping-anchor-from-a-trickbot-infection-to-the-discovery-of-the-anchor-malware', 'https://www.fireeye.com/blog/threat-research/2019/04/pick-six-intercepting-a-fin6-intrusion.html', 'https://usa.visa.com/dam/VCOM/global/support-legal/documents/fin6-cybercrime-group-expands-threat-To-ecommerce-merchants.pdf']","['Elastic', 'Host', 'Windows', 'Threat Detection', 'Discovery']"
https://www.elastic.co/guide/en/security/7.16/adding-hidden-file-attribute-via-attrib.html,Adding Hidden File Attribute via Attribedit,"['Defense Evasion', 'Persistence']","['TA0005', 'TA0003']",['Hide Artifacts'],['T1564'],Adversaries can add the hidden attribute to files to hide them from the user in an attempt to evade detection.,['eql'],"process where event.type in (""start"", ""process_started"") andprocess.name : ""attrib.exe"" and process.args : ""+h""","['winlogbeat-*', 'logs-endpoint.events.*', 'logs-windows.*']",,"['Elastic', 'Host', 'Windows', 'Threat Detection', 'Defense Evasion']"
https://www.elastic.co/guide/en/security/7.16/adobe-hijack-persistence.html,Adobe Hijack Persistenceedit,['Persistence'],['TA0003'],['Hijack Execution Flow'],['T1574'],Detects writing executable files that will be automatically launched by Adobe on launch.,['eql'],"file where event.type == ""creation"" and file.path : (""?:\\ProgramFiles (x86)\\Adobe\\Acrobat Reader DC\\Reader\\AcroCEF\\RdrCEF.exe"",""?:\\Program Files\\Adobe\\Acrobat ReaderDC\\Reader\\AcroCEF\\RdrCEF.exe"") and not process.name :""msiexec.exe""","['winlogbeat-*', 'logs-endpoint.events.*', 'logs-windows.*']",,"['Elastic', 'Host', 'Windows', 'Threat Detection', 'Persistence']"
https://www.elastic.co/guide/en/security/7.16/agent-spoofing-mismatched-agent-id.html,Agent Spoofing - Mismatched Agent IDedit,['Defense Evasion'],['TA0005'],['Masquerading'],['T1036'],"Detects events which have a mismatch on the expected event agent ID. The status ""agent_id_mismatch"" occurs when the expected agent ID associated with the API key does not match the actual agent ID in an event. This could indicate attempts to spoof events in order to masquerade actual activity to evade detection.",['query'],event.agent_id_status:agent_id_mismatch,"['logs-*', 'metrics-*', 'traces-*']",,"['Elastic', 'Threat Detection', 'Defense Evasion']"
https://www.elastic.co/guide/en/security/7.16/agent-spoofing-multiple-hosts-using-same-agent.html,Agent Spoofing - Multiple Hosts Using Same Agentedit,['Defense Evasion'],['TA0005'],['Masquerading'],['T1036'],Detects when multiple hosts are using the same agent ID. This could occur in the event of an agent being taken over and used to inject illegitimate documents into an instance as an attempt to spoof events in order to masquerade actual activity to evade detection.,['threshold'],event.agent_id_status:*,"['logs-*', 'metrics-*', 'traces-*']",,"['Elastic', 'Threat Detection', 'Defense Evasion']"
https://www.elastic.co/guide/en/security/7.16/bypass-uac-via-event-viewer.html,Bypass UAC via Event Vieweredit,['Privilege Escalation'],['TA0004'],['Abuse Elevation Control Mechanism'],['T1548'],Identifies User Account Control (UAC) bypass via eventvwr.exe. Attackers bypass UAC to stealthily execute code with elevated permissions.,['eql'],"process where event.type in (""start"", ""process_started"") andprocess.parent.name : ""eventvwr.exe"" and not process.executable :(""?:\\Windows\\SysWOW64\\mmc.exe"",""?:\\Windows\\System32\\mmc.exe"",""?:\\Windows\\SysWOW64\\WerFault.exe"",""?:\\Windows\\System32\\WerFault.exe"")","['winlogbeat-*', 'logs-endpoint.events.*', 'logs-windows.*']",,"['Elastic', 'Host', 'Windows', 'Threat Detection', 'Privilege Escalation']"
https://www.elastic.co/guide/en/security/7.16/clearing-windows-event-logs.html,Clearing Windows Event Logsedit,['Defense Evasion'],['TA0005'],['Indicator Removal on Host'],['T1070'],Identifies attempts to clear or disable Windows event log stores using Windows wevetutil command. This is often done by attackers in an attempt to evade detection or destroy forensic evidence on a system.,['eql'],"process where event.type in (""process_started"", ""start"") and(process.name : ""wevtutil.exe"" or process.pe.original_file_name ==""wevtutil.exe"") and process.args : (""/e:false"", ""cl"", ""clear-log"")or process.name : (""powershell.exe"", ""pwsh.exe"",""powershell_ise.exe"") and process.args : ""Clear-EventLog""","['winlogbeat-*', 'logs-endpoint.events.*', 'logs-windows.*']",,"['Elastic', 'Host', 'Windows', 'Threat Detection', 'Defense Evasion']"
https://www.elastic.co/guide/en/security/7.16/cobalt-strike-command-and-control-beacon.html,Cobalt Strike Command and Control Beaconedit,['Command and Control'],['TA0011'],['Application Layer Protocol'],['T1071'],Cobalt Strike is a threat emulation platform commonly modified and used by adversaries to conduct network attack and exploitation campaigns. This rule detects a network activity algorithm leveraged by Cobalt Strike implant beacons for command and control.,['query'],event.category:(network OR network_traffic) AND type:(tls OR http) ANDnetwork.transport:tcp ANDdestination.domain:/[a-z]{3}.stage.[0-9]{8}\..*/,"['auditbeat-*', 'filebeat-*', 'packetbeat-*', 'logs-endpoint.events.*']","['https://blog.morphisec.com/fin7-attacks-restaurant-industry', 'https://www.fireeye.com/blog/threat-research/2017/04/fin7-phishing-lnk.html']","['Elastic', 'Network', 'Threat Detection', 'Command and Control', 'Host']"
https://www.elastic.co/guide/en/security/7.16/command-execution-via-solarwinds-process.html,Command Execution via SolarWinds Processedit,"['Execution', 'Initial Access']","['TA0002', 'TA0001']","['Command and Scripting Interpreter', 'Supply Chain Compromise']","['T1059', 'T1195']",A suspicious SolarWinds child process (Cmd.exe or Powershell.exe) was detected.,['eql'],"process where event.type in (""start"", ""process_started"") andprocess.name: (""cmd.exe"", ""powershell.exe"") and process.parent.name: (""ConfigurationWizard*.exe"", ""NetflowDatabaseMaintenance*.exe"",""NetFlowService*.exe"", ""SolarWinds.Administration*.exe"",""SolarWinds.Collector.Service*.exe"", ""SolarwindsDiagnostics*.exe"")","['winlogbeat-*', 'logs-endpoint.events.*', 'logs-windows.*']","['https://www.fireeye.com/blog/threat-research/2020/12/evasive-attacker-leverages-solarwinds-supply-chain-compromises-with-sunburst-backdoor.html', 'https://github.com/fireeye/sunburst_countermeasures/blob/main/rules/SUNBURST/hxioc/SOLARWINDS%20SUSPICIOUS%20FILEWRITES%20(METHODOLOGY).ioc']","['Elastic', 'Host', 'Windows', 'Threat Detection', 'Execution']"
