url,title,mitre_tactic_name,mitre_tactic,mitre_technique_name,mitre_technique,description,type,elastic_query,rule_indices,references,tags
https://www.elastic.co/guide/en/security/7.16/aws-access-secret-in-secrets-manager.html,AWS Access Secret in Secrets Manageredit,['Credential Access'],['TA0006'],['Steal Application Access Token'],['T1528'],"An adversary may attempt to access the secrets in secrets manager to steal certificates, credentials, or other sensitive material",['query'],event.dataset:aws.cloudtrail andevent.provider:secretsmanager.amazonaws.com andevent.action:GetSecretValue,"['filebeat-*', 'logs-aws*']","['https://docs.aws.amazon.com/secretsmanager/latest/apireference/API_GetSecretValue.html', 'http://detectioninthe.cloud/credential_access/access_secret_in_secrets_manager/']","['Elastic', 'Cloud', 'AWS', 'Continuous Monitoring', 'SecOps', 'Data Protection']"
https://www.elastic.co/guide/en/security/7.16/aws-cloudtrail-log-created.html,AWS CloudTrail Log Creatededit,['Collection'],['TA0009'],['Data from Cloud Storage Object'],['T1530'],Identifies the creation of an AWS log trail that specifies the settings for delivery of log data.,['query'],event.dataset:aws.cloudtrail andevent.provider:cloudtrail.amazonaws.com and event.action:CreateTrailand event.outcome:success,"['filebeat-*', 'logs-aws*']","['https://docs.aws.amazon.com/awscloudtrail/latest/APIReference/API_CreateTrail.html', 'https://awscli.amazonaws.com/v2/documentation/api/latest/reference/cloudtrail/create-trail.html']","['Elastic', 'Cloud', 'AWS', 'Continuous Monitoring', 'SecOps', 'Log Auditing']"
https://www.elastic.co/guide/en/security/7.16/aws-cloudtrail-log-deleted.html,AWS CloudTrail Log Deletededit,['Defense Evasion'],['TA0005'],['Impair Defenses'],['T1562'],Identifies the deletion of an AWS log trail. An adversary may delete trails in an attempt to evade defenses.,['query'],event.dataset:aws.cloudtrail andevent.provider:cloudtrail.amazonaws.com and event.action:DeleteTrailand event.outcome:success,"['filebeat-*', 'logs-aws*']","['https://docs.aws.amazon.com/awscloudtrail/latest/APIReference/API_DeleteTrail.html', 'https://awscli.amazonaws.com/v2/documentation/api/latest/reference/cloudtrail/delete-trail.html']","['Elastic', 'Cloud', 'AWS', 'Continuous Monitoring', 'SecOps', 'Log Auditing']"
https://www.elastic.co/guide/en/security/7.16/aws-cloudtrail-log-suspended.html,AWS CloudTrail Log Suspendededit,['Defense Evasion'],['TA0005'],['Impair Defenses'],['T1562'],Identifies suspending the recording of AWS API calls and log file delivery for the specified trail. An adversary may suspend trails in an attempt to evade defenses.,['query'],event.dataset:aws.cloudtrail andevent.provider:cloudtrail.amazonaws.com and event.action:StopLoggingand event.outcome:success,"['filebeat-*', 'logs-aws*']","['https://docs.aws.amazon.com/awscloudtrail/latest/APIReference/API_StopLogging.html', 'https://awscli.amazonaws.com/v2/documentation/api/latest/reference/cloudtrail/stop-logging.html']","['Elastic', 'Cloud', 'AWS', 'Continuous Monitoring', 'SecOps', 'Log Auditing']"
https://www.elastic.co/guide/en/security/7.16/aws-cloudtrail-log-updated.html,AWS CloudTrail Log Updatededit,"['Impact', 'Collection']","['TA0040', 'TA0009']","['Data Manipulation', 'Data from Cloud Storage Object']","['T1565', 'T1530']",Identifies an update to an AWS log trail setting that specifies the delivery of log files.,['query'],event.dataset:aws.cloudtrail andevent.provider:cloudtrail.amazonaws.com and event.action:UpdateTrailand event.outcome:success,"['filebeat-*', 'logs-aws*']","['https://docs.aws.amazon.com/awscloudtrail/latest/APIReference/API_UpdateTrail.html', 'https://awscli.amazonaws.com/v2/documentation/api/latest/reference/cloudtrail/update-trail.html']","['Elastic', 'Cloud', 'AWS', 'Continuous Monitoring', 'SecOps', 'Log Auditing']"
https://www.elastic.co/guide/en/security/7.16/aws-cloudwatch-alarm-deletion.html,AWS CloudWatch Alarm Deletionedit,['Defense Evasion'],['TA0005'],['Impair Defenses'],['T1562'],Identifies the deletion of an AWS CloudWatch alarm. An adversary may delete alarms in an attempt to evade defenses.,['query'],event.dataset:aws.cloudtrail andevent.provider:monitoring.amazonaws.com and event.action:DeleteAlarmsand event.outcome:success,"['filebeat-*', 'logs-aws*']","['https://awscli.amazonaws.com/v2/documentation/api/latest/reference/cloudwatch/delete-alarms.html', 'https://docs.aws.amazon.com/AmazonCloudWatch/latest/APIReference/API_DeleteAlarms.html']","['Elastic', 'Cloud', 'AWS', 'Continuous Monitoring', 'SecOps', 'Monitoring']"
https://www.elastic.co/guide/en/security/7.16/aws-cloudwatch-log-group-deletion.html,AWS CloudWatch Log Group Deletionedit,"['Impact', 'Defense Evasion']","['TA0040', 'TA0005']","['Data Destruction', 'Impair Defenses']","['T1485', 'T1562']","Identifies the deletion of a specified AWS CloudWatch log group. When a log group is deleted, all the archived log events associated with the log group are also permanently deleted.",['query'],event.dataset:aws.cloudtrail and event.provider:logs.amazonaws.com andevent.action:DeleteLogGroup and event.outcome:success,"['filebeat-*', 'logs-aws*']","['https://awscli.amazonaws.com/v2/documentation/api/latest/reference/logs/delete-log-group.html', 'https://docs.aws.amazon.com/AmazonCloudWatchLogs/latest/APIReference/API_DeleteLogGroup.html']","['Elastic', 'Cloud', 'AWS', 'Continuous Monitoring', 'SecOps', 'Log Auditing']"
https://www.elastic.co/guide/en/security/7.16/aws-cloudwatch-log-stream-deletion.html,AWS CloudWatch Log Stream Deletionedit,"['Impact', 'Defense Evasion']","['TA0040', 'TA0005']","['Data Destruction', 'Impair Defenses']","['T1485', 'T1562']","Identifies the deletion of an AWS CloudWatch log stream, which permanently deletes all associated archived log events with the stream.",['query'],event.dataset:aws.cloudtrail and event.provider:logs.amazonaws.com andevent.action:DeleteLogStream and event.outcome:success,"['filebeat-*', 'logs-aws*']","['https://awscli.amazonaws.com/v2/documentation/api/latest/reference/logs/delete-log-stream.html', 'https://docs.aws.amazon.com/AmazonCloudWatchLogs/latest/APIReference/API_DeleteLogStream.html']","['Elastic', 'Cloud', 'AWS', 'Continuous Monitoring', 'SecOps', 'Log Auditing']"
https://www.elastic.co/guide/en/security/7.16/aws-config-service-tampering.html,AWS Config Service Tamperingedit,['Defense Evasion'],['TA0005'],['Impair Defenses'],['T1562'],Identifies attempts to delete an AWS Config Service resource. An adversary may tamper with Config services in order to reduce visibility into the security posture of an account and / or its workload instances.,['query'],event.dataset:aws.cloudtrail and event.provider:config.amazonaws.comand event.action:(DeleteConfigRule or DeleteOrganizationConfigRuleor DeleteConfigurationAggregator or DeleteConfigurationRecorder orDeleteConformancePack or DeleteOrganizationConformancePack orDeleteDeliveryChannel or DeleteRemediationConfiguration orDeleteRetentionConfiguration),"['filebeat-*', 'logs-aws*']","['https://docs.aws.amazon.com/config/latest/developerguide/how-does-config-work.html', 'https://docs.aws.amazon.com/config/latest/APIReference/API_Operations.html']","['Elastic', 'Cloud', 'AWS', 'Continuous Monitoring', 'SecOps', 'Monitoring']"
https://www.elastic.co/guide/en/security/7.16/aws-configuration-recorder-stopped.html,AWS Configuration Recorder Stoppededit,['Defense Evasion'],['TA0005'],['Impair Defenses'],['T1562'],Identifies an AWS configuration change to stop recording a designated set of resources.,['query'],event.dataset:aws.cloudtrail and event.provider:config.amazonaws.comand event.action:StopConfigurationRecorder and event.outcome:success,"['filebeat-*', 'logs-aws*']","['https://awscli.amazonaws.com/v2/documentation/api/latest/reference/configservice/stop-configuration-recorder.html', 'https://docs.aws.amazon.com/config/latest/APIReference/API_StopConfigurationRecorder.html']","['Elastic', 'Cloud', 'AWS', 'Continuous Monitoring', 'SecOps', 'Monitoring']"
