url,title,mitre_attack_codes,description,type,last_update,splunk_query,required_macros,required_fields,false_positives,associated_analytics,analytic_stories,references,tags,category
https://research.splunk.com/endpoint/01d29b48-ff6f-11eb-b81e-acde48001123/,7zip CommandLine To SMB Share Path,"['T1560.001', 'T1560']",This search is to detect a suspicious 7z process with commandline pointing to SMB network share. This technique was seen in CONTI LEAK tools where it use 7z to archive a sensitive files and place it in network share tmp folder. This search is a good hunting query that may give analyst a hint why specific user try to archive a file pointing to SMB user which is un usual.,['Hunting'],"August 17, 2021","| tstats `security_content_summariesonly` count min(_time) as firstTime max(_time) as lastTime from datamodel=Endpoint.Processes where (Processes.process_name =""7z.exe"" OR Processes.process_name = ""7za.exe"" OR Processes.original_file_name = ""7z.exe"" OR Processes.original_file_name =  ""7za.exe"") AND (Processes.process=""*\\C$\\*"" OR Processes.process=""*\\Admin$\\*"" OR Processes.process=""*\\IPC$\\*"") by Processes.original_file_name Processes.parent_process_name Processes.parent_process Processes.process_name Processes.process Processes.parent_process_id Processes.process_id  Processes.dest Processes.user 
| `drop_dm_object_name(Processes)` 
| `security_content_ctime(firstTime)` 
| `security_content_ctime(lastTime)` 
| `7zip_commandline_to_smb_share_path_filter`","['security_content_summariesonly', 'security_content_ctime']","['_time', 'Processes.dest', 'Processes.user', 'Processes.parent_process', 'Processes.parent_process_name', 'Processes.process_name', 'Processes.process', 'Processes.process_id', 'Processes.parent_process_id']",unknown,['Ransomware'],['https://research.splunk.com/stories/ransomware'],['https://threadreaderapp.com/thread/1423361119926816776.html'],"['Archive Collected Data', 'Archive via Utility', 'Collection', 'Collection', 'Endpoint', 'Splunk Cloud', 'Splunk Enterprise', 'Splunk Enterprise Security']",['Endpoint']
https://research.splunk.com/endpoint/0661c2de-93de-11ec-9833-acde48001122/,Windows WMI Process Call Create,['T1047'],This analytic is to look for wmi commandlines to execute or create process. This technique was used by adversaries or threat actor to execute their malicious payload in local or remote host. This hunting query is a good pivot to start to look further which process trigger the wmi or what process it execute locally or remotely.,['Hunting'],"December 27, 2023","| tstats `security_content_summariesonly` count min(_time) as firstTime max(_time) as lastTime from datamodel=Endpoint.Processes where `process_wmic` Processes.process = ""* process *"" Processes.process = ""* call *"" Processes.process = ""* create *"" by Processes.parent_process_name Processes.parent_process Processes.process_name Processes.process Processes.original_file_name Processes.process_id Processes.parent_process_path Processes.process_guid Processes.parent_process_id Processes.dest Processes.user Processes.process_path 
| `drop_dm_object_name(Processes)` 
| `security_content_ctime(firstTime)` 
| `security_content_ctime(lastTime)` 
| `windows_wmi_process_call_create_filter`","['security_content_summariesonly', 'process_wmic', 'security_content_ctime']","['_time', 'Processes.dest', 'Processes.user', 'Processes.parent_process_name', 'Processes.parent_process', 'Processes.original_file_name', 'Processes.process_name', 'Processes.process', 'Processes.process_id', 'Processes.parent_process_path', 'Processes.process_path', 'Processes.parent_process_id', 'Processes.process_guid']",Administrators may execute this command for testing or auditing.,"['Volt Typhoon', 'Qakbot', 'IcedID', 'Suspicious WMI Use', 'CISA AA23-347A']","['https://research.splunk.com/stories/volt_typhoon', 'https://research.splunk.com/stories/qakbot', 'https://research.splunk.com/stories/icedid', 'https://research.splunk.com/stories/suspicious_wmi_use', 'https://research.splunk.com/stories/cisa_aa23-347a']","['https://github.com/NVISOsecurity/sigma-public/blob/master/rules/windows/process_creation/win_susp_wmi_execution.yml', 'https://github.com/redcanaryco/atomic-red-team/blob/2b804d25418004a5f1ba50e9dc637946ab8733c7/atomics/T1047/T1047.md', 'https://www.microsoft.com/en-us/security/blog/2023/05/24/volt-typhoon-targets-us-critical-infrastructure-with-living-off-the-land-techniques/', 'https://thedfirreport.com/2023/05/22/icedid-macro-ends-in-nokoyawa-ransomware/']","['Endpoint', 'Execution', 'Splunk Cloud', 'Splunk Enterprise', 'Splunk Enterprise Security', 'Windows Management Instrumentation']",['Endpoint']
https://research.splunk.com/endpoint/073e69d0-68b2-4142-aa90-a7ee6f590676/,Windows Modify Registry wuStatusServer,['T1112'],"The following analytic identifies a suspicious registry modification of Windows auto update configuration. This technique was being abused by several adversaries, malware authors and also red-teamers to bypass detection or to be able to compromise the target host with zero day exploit or as an additional defense evasion technique. RedLine Stealer is one of the malware we've seen that uses this technique to evade detection and add more payload on the target host. This detection looks for registry modification related to the server to which reporting information will be sent for client computers that use the WSUS server configured by the WUServer key. This policy is paired with WUServer; both must be set to the same value in order for them to be valid.",['Hunting'],"April 21, 2023","| tstats `security_content_summariesonly` count min(_time) as firstTime max(_time) as lastTime from datamodel=Endpoint.Registry where Registry.registry_path=""*\\SOFTWARE\\Policies\\Microsoft\\Windows\\WindowsUpdate\\WUStatusServer"" by Registry.dest Registry.user Registry.registry_path Registry.registry_value_data Registry.registry_key_name 
| `drop_dm_object_name(Registry)` 
| `security_content_ctime(lastTime)` 
| `security_content_ctime(firstTime)` 
| `windows_modify_registry_wustatusserver_filter`","['security_content_summariesonly', 'security_content_ctime']","['_time', 'Registry.registry_key_name', 'Registry.registry_path', 'Registry.user', 'Registry.dest', 'Registry.registry_value_name', 'Registry.action', 'Registry.registry_value_data']",administrators may enable or disable this feature that may cause some false positive.,['RedLine Stealer'],['https://research.splunk.com/stories/redline_stealer'],['https://learn.microsoft.com/de-de/security-updates/windowsupdateservices/18127499'],"['Defense Evasion', 'Endpoint', 'Modify Registry', 'Splunk Cloud', 'Splunk Enterprise', 'Splunk Enterprise Security']",['Endpoint']
https://research.splunk.com/endpoint/091712ff-b02a-4d43-82ed-34765515d95d/,GetNetTcpconnection with PowerShell Script Block,['T1049'],The following analytic utilizes PowerShell Script Block Logging (EventCode=4104) to identify the execution of the Get-NetTcpconnection  commandlet. This commandlet is used to return a listing of network connections on a compromised system. Red Teams and adversaries alike may use this commandlet for situational awareness and Active Directory Discovery.,['Hunting'],"April 2, 2022","`powershell` EventCode=4104 (ScriptBlockText = ""*Get-NetTcpconnection*"") 
| stats count min(_time) as firstTime max(_time) as lastTime by Opcode Computer UserID EventCode ScriptBlockText 
| `security_content_ctime(firstTime)` 
| `getnettcpconnection_with_powershell_script_block_filter`","['powershell', 'security_content_ctime']","['_time', 'ScriptBlockText', 'Opcode', 'Computer', 'UserID', 'EventCode']",Administrators or power users may use this PowerShell commandlet for troubleshooting.,['Active Directory Discovery'],['https://research.splunk.com/stories/active_directory_discovery'],"['https://attack.mitre.org/techniques/T1049/', 'https://docs.microsoft.com/en-us/powershell/module/nettcpip/get-nettcpconnection?view=windowsserver2019-ps']","['Discovery', 'Splunk Cloud', 'Splunk Enterprise', 'Splunk Enterprise Security', 'System Network Connections Discovery']",['Endpoint']
https://research.splunk.com/endpoint/09336538-065a-11ec-8665-acde48001122/,Password Policy Discovery with Net,['T1201'],This analytic looks for the execution of net.exe or net1.exe with command line arguments used to obtain the domain password policy. Red Teams and adversaries may leverage net.exe for situational awareness and Active Directory Discovery.,['Hunting'],"August 26, 2021","| tstats `security_content_summariesonly` count min(_time) as firstTime max(_time) as lastTime from datamodel=Endpoint.Processes where (Processes.process_name=""net.exe"" OR Processes.process_name=""net1.exe"") AND Processes.process = ""*accounts*"" AND Processes.process = ""*/domain*"" by Processes.dest Processes.user Processes.parent_process Processes.process_name Processes.process Processes.process_id Processes.parent_process_id Processes.parent_process_name 
| `drop_dm_object_name(Processes)` 
| `security_content_ctime(firstTime)` 
| `security_content_ctime(lastTime)` 
| `password_policy_discovery_with_net_filter`","['security_content_summariesonly', 'security_content_ctime']","['_time', 'Processes.dest', 'Processes.user', 'Processes.parent_process', 'Processes.process_name', 'Processes.process', 'Processes.process_id', 'Processes.parent_process_id', 'Processes.parent_process_name']",Administrators or power users may use this command for troubleshooting.,['Active Directory Discovery'],['https://research.splunk.com/stories/active_directory_discovery'],['https://github.com/S1ckB0y1337/Active-Directory-Exploitation-Cheat-Sheet'],"['Discovery', 'Endpoint', 'Password Policy Discovery', 'Splunk Cloud', 'Splunk Enterprise', 'Splunk Enterprise Security']",['Endpoint']
https://research.splunk.com/endpoint/09d88404-1e29-46cb-806c-1eedbc85ad5d/,Windows Steal or Forge Kerberos Tickets Klist,['T1558'],The following analytic identifies a process execution of Windows OS klist.exe tool. This tool is being abused or used by several post exploitation tool such as winpeas that being used by ransomware prestige to display or gather list of currently cached kerberos ticket. This cahced data can be used for lateral movement or even privilege escalation on the targeted host. This hunting query can be a good pivot in possible kerberos attack or pass the hash technique.,['Hunting'],"November 30, 2022","| tstats `security_content_summariesonly` count min(_time) as firstTime max(_time) as lastTime from datamodel=Endpoint.Processes where Processes.process_name=""klist.exe"" OR Processes.original_file_name = ""klist.exe"" Processes.parent_process_name IN (""cmd.exe"", ""powershell*"") by Processes.process_name Processes.original_file_name Processes.process Processes.process_id Processes.process_guid Processes.parent_process_name Processes.parent_process Processes.parent_process_guid Processes.dest Processes.user 
| `drop_dm_object_name(Processes)` 
| `security_content_ctime(firstTime)` 
| `security_content_ctime(lastTime)` 
| `windows_steal_or_forge_kerberos_tickets_klist_filter`","['security_content_summariesonly', 'security_content_ctime']","['_time', 'Processes.dest', 'Processes.user', 'Processes.parent_process_name', 'Processes.parent_process', 'Processes.original_file_name', 'Processes.process_name', 'Processes.process', 'Processes.process_id', 'Processes.parent_process_path', 'Processes.process_path', 'Processes.parent_process_id', 'Processes.parent_process_guid', 'Processes.process_guid']",unknown,"['Windows Post-Exploitation', 'Prestige Ransomware']","['https://research.splunk.com/stories/windows_post-exploitation', 'https://research.splunk.com/stories/prestige_ransomware']","['https://github.com/carlospolop/PEASS-ng/tree/master/winPEAS', 'https://www.microsoft.com/en-us/security/blog/2022/10/14/new-prestige-ransomware-impacts-organizations-in-ukraine-and-poland/']","['Credential Access', 'Endpoint', 'Splunk Cloud', 'Splunk Enterprise', 'Splunk Enterprise Security', 'Steal or Forge Kerberos Tickets']",['Endpoint']
https://research.splunk.com/endpoint/0b6ee3f4-04e3-11ec-a87d-acde48001122/,Get ADUser with PowerShell,"['T1087.002', 'T1087']",This analytic looks for the execution of powershell.exe with command-line arguments utilized to enumerate domain users. The `Get-AdUser' commandlet returns a list of all domain users. Red Teams and adversaries alike may use this commandlet to identify remote systems for situational awareness and Active Directory Discovery.,['Hunting'],"December 27, 2023","| tstats `security_content_summariesonly` count min(_time) as firstTime max(_time) as lastTime from datamodel=Endpoint.Processes where (Processes.process_name=""cmd.exe"" OR Processes.process_name=""powershell*"") AND Processes.process = ""*Get-ADUser*"" AND Processes.process = ""*-filter*"" by Processes.dest Processes.user Processes.parent_process Processes.process_name Processes.process Processes.process_id Processes.parent_process_id Processes.parent_process_name 
| `drop_dm_object_name(Processes)` 
| `security_content_ctime(firstTime)` 
| `security_content_ctime(lastTime)` 
| `get_aduser_with_powershell_filter`","['security_content_summariesonly', 'security_content_ctime']","['_time', 'Processes.dest', 'Processes.user', 'Processes.parent_process', 'Processes.process_name', 'Processes.process', 'Processes.process_id', 'Processes.parent_process_id', 'Processes.parent_process_name']",Administrators or power users may use this command for troubleshooting.,"['Active Directory Discovery', 'CISA AA23-347A']","['https://research.splunk.com/stories/active_directory_discovery', 'https://research.splunk.com/stories/cisa_aa23-347a']","['https://www.blackhillsinfosec.com/red-blue-purple/', 'https://attack.mitre.org/techniques/T1087/002/', 'https://docs.microsoft.com/en-us/powershell/module/activedirectory/get-aduser?view=windowsserver2019-ps']","['Account Discovery', 'Discovery', 'Discovery', 'Domain Account', 'Endpoint', 'Splunk Cloud', 'Splunk Enterprise', 'Splunk Enterprise Security']",['Endpoint']
https://research.splunk.com/endpoint/0c3f3e09-e47a-410e-856f-a02a5c5fafb0/,Windows System User Discovery Via Quser,['T1033'],"The following analytic identifies a process execution of Windows OS quser.exe tool. This tool is being abused or used by several post exploitation tool such as winpeas that being used by ransomware prestige to display or gather information about user sessions on a Remote Desktop Session Host server. This command can find out if a specific user is logged on to a specific Remote Desktop Session Host server. This tool can retrieve some RDP information that can be use by attacker for further attack like Name of the user , Name of the session on the Remote Desktop Session Host server, Session ID, State of the session (active or disconnected), Idle time (the number of minutes since the last keystroke or mouse movement at the session) and Date and time the user logged on.",['Hunting'],"November 30, 2022","| tstats `security_content_summariesonly` count min(_time) as firstTime max(_time) as lastTime from datamodel=Endpoint.Processes where Processes.process_name=""quser.exe"" OR Processes.original_file_name = ""quser.exe"" by Processes.process_name Processes.original_file_name Processes.process Processes.process_id Processes.process_guid Processes.parent_process_name Processes.parent_process Processes.parent_process_guid Processes.dest Processes.user 
| `drop_dm_object_name(Processes)` 
| `security_content_ctime(firstTime)` 
| `security_content_ctime(lastTime)` 
| `windows_system_user_discovery_via_quser_filter`","['security_content_summariesonly', 'security_content_ctime']","['_time', 'Processes.dest', 'Processes.user', 'Processes.parent_process_name', 'Processes.parent_process', 'Processes.original_file_name', 'Processes.process_name', 'Processes.process', 'Processes.process_id', 'Processes.parent_process_path', 'Processes.process_path', 'Processes.parent_process_id', 'Processes.parent_process_guid', 'Processes.process_guid']",network administrator can use this command tool to audit RDP access of user in specific network or host.,"['Windows Post-Exploitation', 'Prestige Ransomware']","['https://research.splunk.com/stories/windows_post-exploitation', 'https://research.splunk.com/stories/prestige_ransomware']","['https://learn.microsoft.com/en-us/windows-server/administration/windows-commands/quser', 'https://github.com/carlospolop/PEASS-ng/tree/master/winPEAS', 'https://www.microsoft.com/en-us/security/blog/2022/10/14/new-prestige-ransomware-impacts-organizations-in-ukraine-and-poland/']","['Discovery', 'Endpoint', 'Splunk Cloud', 'Splunk Enterprise', 'Splunk Enterprise Security', 'System Owner/User Discovery']",['Endpoint']
https://research.splunk.com/endpoint/0cdf318b-a0dd-47d7-b257-c621c0247de8/,User Discovery With Env Vars PowerShell,['T1033'],This analytic looks for the execution of powershell.exe with command-line arguments that leverage PowerShell environment variables to identify the current logged user. Red Teams and adversaries may leverage this method to identify the logged user on a compromised endpoint for situational awareness and Active Directory Discovery.,['Hunting'],"September 13, 2021","| tstats `security_content_summariesonly` count min(_time) as firstTime max(_time) as lastTime from datamodel=Endpoint.Processes where (Processes.process_name=""powershell.exe"") (Processes.process=""*$env:UserName*"" OR Processes.process=""*[System.Environment]::UserName*"") by Processes.dest Processes.user Processes.parent_process Processes.process_name Processes.process Processes.process_id Processes.parent_process_id 
| `drop_dm_object_name(Processes)` 
| `security_content_ctime(firstTime)` 
| `security_content_ctime(lastTime)` 
| `user_discovery_with_env_vars_powershell_filter`","['security_content_summariesonly', 'security_content_ctime']","['_time', 'Processes.dest', 'Processes.user', 'Processes.parent_process_name', 'Processes.parent_process', 'Processes.original_file_name', 'Processes.process_name', 'Processes.process', 'Processes.process_id', 'Processes.parent_process_path', 'Processes.process_path', 'Processes.parent_process_id']",Administrators or power users may use this command for troubleshooting.,['Active Directory Discovery'],['https://research.splunk.com/stories/active_directory_discovery'],['https://attack.mitre.org/techniques/T1033/'],"['Discovery', 'Endpoint', 'Splunk Cloud', 'Splunk Enterprise', 'Splunk Enterprise Security', 'System Owner/User Discovery']",['Endpoint']
https://research.splunk.com/endpoint/0db4da70-f14b-11eb-8043-acde48001122/,IcedID Exfiltrated Archived File Creation,"['T1560.001', 'T1560']",This search is to detect a suspicious file creation namely passff.tar and cookie.tar. This files are possible archived of stolen browser information like history and cookies in a compromised machine with IcedID.,['Hunting'],"July 30, 2021","`sysmon` EventCode= 11  (TargetFilename = ""*\\passff.tar"" OR TargetFilename = ""*\\cookie.tar"") 
|stats count min(_time) as firstTime max(_time) as lastTime by TargetFilename EventCode process_id  process_name dest 
| `security_content_ctime(firstTime)` 
| `security_content_ctime(lastTime)` 
| `icedid_exfiltrated_archived_file_creation_filter`","['security_content_ctime', 'sysmon']","['_time', 'TargetFilename', 'EventCode', 'process_id', 'process_name', 'dest']",unknown,['IcedID'],['https://research.splunk.com/stories/icedid'],['https://www.cisecurity.org/insights/white-papers/security-primer-icedid'],"['Archive Collected Data', 'Archive via Utility', 'Collection', 'Collection', 'Splunk Cloud', 'Splunk Enterprise', 'Splunk Enterprise Security']",['Endpoint']
